#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       1.344515629685e+02       3.616358927529e-04      -1.360680305304e+00       3.798797550709e-05       4.141963936604e-06       1.035490984151e-05       6.442514100526e-10       2.070981968302e-06      -1.020510230485e+00       3.798806132559e-05       5.993331098489e-01       6.607019964286e-01      -1.360678656417e+00       3.794485058957e-05       6.971323184631e-04      -1.020511704510e+00       3.803537824525e-05 
       1.380264225951e+02       3.732052950889e-04      -1.362876201285e+00       3.891508482952e-05       4.522138633193e-06       1.130534658298e-05       7.501911343890e-10       2.261069316596e-06      -1.022157152802e+00       3.891518513297e-05       5.995318304337e-01       6.601988421554e-01      -1.362874337920e+00       3.886817850393e-05       7.337179486119e-04      -1.022158802079e+00       3.896593726770e-05 
       1.416012822217e+02       3.848759171304e-04      -1.365114423580e+00       3.984097867234e-05       4.930056361672e-06       1.232514090418e-05       8.715366830102e-10       2.465028180836e-06      -1.023835819911e+00       3.984109532214e-05       5.997096343753e-01       6.596862103536e-01      -1.365112327180e+00       3.979006652422e-05       7.711806967462e-04      -1.023837656964e+00       3.989542061294e-05 
       1.451761418484e+02       3.966477588776e-04      -1.367385927984e+00       4.076555696734e-05       5.366260137230e-06       1.341565034307e-05       1.009880250405e-09       2.683130068615e-06      -1.025539448663e+00       4.076569198882e-05       5.998688792191e-01       6.591663605635e-01      -1.367383578908e+00       4.071040739775e-05       8.095190140430e-04      -1.025541486515e+00       4.082372895989e-05 
       1.487510014750e+02       4.085208203304e-04      -1.369683051908e+00       4.168873501466e-05       5.831605567885e-06       1.457901391971e-05       1.167060836401e-09       2.915802783943e-06      -1.027262292125e+00       4.168889060676e-05       6.000115681430e-01       6.586412068115e-01      -1.369680429390e+00       4.162910919881e-05       8.487312531918e-04      -1.027264544292e+00       4.175077827316e-05 
       1.523258611016e+02       4.204951014889e-04      -1.371999286149e+00       4.261044116518e-05       6.327569566520e-06       1.581892391630e-05       1.345325664468e-09       3.163784783260e-06      -1.028999468402e+00       4.261061972967e-05       6.001393882156e-01       6.581123746852e-01      -1.371996368271e+00       4.254609301934e-05       8.888156843772e-04      -1.029001948899e+00       4.267649749386e-05 
       1.561894105456e+02       4.335501833541e-04      -1.374517673055e+00       4.360485544053e-05       6.900388498025e-06       1.725097124506e-05       1.564836099703e-09       3.450194249012e-06      -1.030888259325e+00       4.360506180844e-05       6.002624639896e-01       6.575382943290e-01      -1.374514409943e+00       4.353511850268e-05       9.331157628945e-04      -1.030891002925e+00       4.367540896346e-05 
       1.600529599896e+02       4.467234931349e-04      -1.377045974537e+00       4.459741553168e-05       7.514376852508e-06       1.878594213127e-05       1.816127219253e-09       3.757188426254e-06      -1.032784486292e+00       4.459765312206e-05       6.003714179240e-01       6.569630147999e-01      -1.377042337649e+00       4.452198463112e-05       9.784301292817e-04      -1.032787510580e+00       4.467263306709e-05 
       1.639165094336e+02       4.600150308313e-04      -1.379579176314e+00       4.558806817985e-05       8.172429631755e-06       2.043107407939e-05       2.103576958298e-09       4.086214815878e-06      -1.034684388609e+00       4.558834077092e-05       6.004676498981e-01       6.563877872440e-01      -1.379575135513e+00       4.550662888817e-05       1.024756351508e-03      -1.034687711798e+00       4.566811703683e-05 
       1.677800588776e+02       4.734247964433e-04      -1.382113047528e+00       4.657676970421e-05       8.877595685658e-06       2.219398921414e-05       2.432222129899e-09       4.438797842829e-06      -1.036584793147e+00       4.657708147250e-05       6.005523619000e-01       6.558136668871e-01      -1.382108571032e+00       4.648899831185e-05       1.072091932232e-03      -1.036588434084e+00       4.666181760490e-05 
       1.716436083216e+02       4.869527899709e-04      -1.384644014207e+00       4.756348453890e-05       9.634164240150e-06       2.408541060038e-05       2.808419299166e-09       4.817082120075e-06      -1.038483019444e+00       4.756384012899e-05       6.006265288590e-01       6.552415446844e-01      -1.384639068543e+00       4.746904804520e-05       1.120434321430e-03      -1.038486997608e+00       4.765369955476e-05 
